split,sample_id,view,image_path,rot_rotation_angle_deg,rot_horizon_roll_deg,rot_shadow_axis_angle_deg,rot_shadow_axis_wrapped_deg,rot_shadow_area_ratio,rot_line_count,rot_applied_rotation_deg,before_checker_line_count,before_vp_x,before_vp_y,before_vp_spread,before_vp_pitch_proxy,before_vp_intersections,before_shadow_area_ratio,before_shadow_angle_deg,before_shadow_elongation,before_laplacian_var,before_noise_residual_std,before_fft_high_freq_ratio,before_edge_density,before_angle_proxy_deg,before_angle_proxy_abs_deg,before_shadow_proxy_deg,before_shadow_proxy_abs_deg,before_horizon_line_count,after_checker_line_count,after_vp_x,after_vp_y,after_vp_spread,after_vp_pitch_proxy,after_vp_intersections,after_shadow_area_ratio,after_shadow_angle_deg,after_shadow_elongation,after_laplacian_var,after_noise_residual_std,after_fft_high_freq_ratio,after_edge_density,after_angle_proxy_deg,after_angle_proxy_abs_deg,after_shadow_proxy_deg,after_shadow_proxy_abs_deg,after_horizon_line_count,rot_checker_roll_deg,rot_shadow_roll_deg
dev,DEV_001,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_001/front.png,-10.948221206665039,-10.948221206665039,-177.47327723997822,2.5267227600217836,0.014139811197916666,24,0.0,40,129.52789306640625,151.7911376953125,0.21118736267089844,0.39528942108154297,469,0.014139811197916666,-177.47327723997822,15.224779815826102,327.0987548828125,5.063200950622559,0.6370019912719727,0.09337022569444445,-10.948221206665039,10.948221206665039,2.5267227600217836,2.5267227600217836,24.0,40,129.52789306640625,151.7911376953125,0.21118736267089844,0.39528942108154297,469,0.014139811197916666,-177.47327723997822,15.224779815826102,327.0987548828125,5.063200950622559,0.6370019912719727,0.09337022569444445,-10.948221206665039,10.948221206665039,2.5267227600217836,2.5267227600217836,24.0,,
dev,DEV_001,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_001/top.png,-4.822484605780882,,134.12818909039453,,0.029873318142361112,29,-4.822484605780882,29,179.65924072265625,191.4453125,0.2859862148761749,0.4985555013020833,234,0.029873318142361112,134.12818909039453,14.372698680366536,175.18902587890625,3.5470492839813232,0.6150813698768616,0.03837754991319445,4.9430108070373535,4.9430108070373535,44.12818909039453,44.12818909039453,,29,170.68612670898438,182.25070190429688,0.2839638292789459,0.47461120287577313,208,0.028401692708333332,138.57168914467238,13.068857081483346,75.30850982666016,2.6474506855010986,0.5501765012741089,0.03727891710069445,9.837850570678711,9.837850570678711,-41.428310855327624,41.428310855327624,,4.822484605780882,44.12818909039453
dev,DEV_002,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_002/front.png,11.195111274719238,11.195111274719238,,,0.0,24,0.0,40,215.85244750976562,154.63929748535156,0.21435017883777618,0.402706503868103,474,0.0,,,571.7694702148438,6.336119174957275,0.6530541777610779,0.09117974175347222,11.195111274719238,11.195111274719238,,,24.0,40,215.85244750976562,154.63929748535156,0.21435017883777618,0.402706503868103,474,0.0,,,571.7694702148438,6.336119174957275,0.6530541777610779,0.09117974175347222,11.195111274719238,11.195111274719238,,,24.0,,
dev,DEV_002,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_002/top.png,2.4023336634151775,,83.41712751562412,,0.050516764322916664,37,2.4023336634151775,37,128.55435180664062,196.76144409179688,0.27622881531715393,0.5123995939890543,349,0.050516764322916664,83.41712751562412,3.68727716507933,283.1862487792969,4.83053731918335,0.5918287038803101,0.05069308810763889,-2.7927024364471436,2.7927024364471436,-6.5828724843758835,6.5828724843758835,,33,224.97323608398438,190.95083618164062,0.2816288471221924,0.4972678025563558,266,0.032782660590277776,81.98598362039093,3.3809936940071994,137.56324768066406,3.7038328647613525,0.5381993055343628,0.0494384765625,-5.0721330642700195,5.0721330642700195,-8.014016379609075,8.014016379609075,,-2.4023336634151775,-6.5828724843758835
dev,DEV_003,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_003/front.png,10.007979393005371,10.007979393005371,142.95418633872845,142.95418633872845,0.01654052734375,24,0.0,40,195.1868133544922,133.4446563720703,0.303273469209671,0.3475121259689331,567,0.01654052734375,142.95418633872845,2.0284126088548677,544.7327270507812,6.4537482261657715,0.6273849606513977,0.10350884331597222,10.007979393005371,10.007979393005371,142.95418633872845,37.04581366127155,24.0,40,195.1868133544922,133.4446563720703,0.303273469209671,0.3475121259689331,567,0.01654052734375,142.95418633872845,2.0284126088548677,544.7327270507812,6.4537482261657715,0.6273849606513977,0.10350884331597222,10.007979393005371,10.007979393005371,142.95418633872845,37.04581366127155,24.0,,
dev,DEV_003,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_003/top.png,-4.023717581151735,,68.02927707907622,,0.015062120225694444,30,-4.023717581151735,30,203.3299560546875,187.18309020996094,0.3153163194656372,0.48745596408843994,225,0.015062120225694444,68.02927707907622,1.569676609461796,228.49981689453125,4.325840473175049,0.5882816314697266,0.041361490885416664,3.950618028640747,3.950618028640747,-21.970722920923777,21.970722920923777,,24,177.7465362548828,180.0120391845703,0.30610328912734985,0.46878135204315186,143,0.009589301215277778,65.10293610732562,3.7225057531279244,109.48811340332031,3.300783157348633,0.5276237726211548,0.040106879340277776,7.943471908569336,7.943471908569336,-24.89706389267438,24.89706389267438,,4.023717581151735,-21.970722920923777
dev,DEV_004,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_004/front.png,0.0,,50.64834169938662,50.648341699386606,0.027445475260416668,0,0.0,33,190.19984436035156,157.80599975585938,0.3264037072658539,0.4109531243642171,393,0.027445475260416668,50.64834169938662,1.277581865793486,475.6955871582031,5.49368953704834,0.6303703188896179,0.08050537109375,,,50.648341699386606,50.648341699386606,0.0,33,190.19984436035156,157.80599975585938,0.3264037072658539,0.4109531243642171,393,0.027445475260416668,50.64834169938662,1.277581865793486,475.6955871582031,5.49368953704834,0.6303703188896179,0.08050537109375,,,50.648341699386606,50.648341699386606,0.0,,
dev,DEV_004,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_004/top.png,-5.700223017118637,,-150.24959877121844,,0.03154161241319445,30,-5.700223017118637,30,184.88778686523438,191.61822509765625,0.2259068638086319,0.4990057945251465,224,0.03154161241319445,-150.24959877121844,4.155257434913224,259.0885009765625,4.17396879196167,0.6359888911247253,0.04117160373263889,5.940037250518799,5.940037250518799,29.750401228781556,29.750401228781556,,26,194.96034240722656,177.24972534179688,0.2437686175107956,0.4615878264109294,168,0.031914605034722224,-144.7684194778642,4.123850746664726,106.65140533447266,3.0787010192871094,0.5622617602348328,0.039998372395833336,10.992507934570312,10.992507934570312,35.2315805221358,35.2315805221358,,5.700223017118637,29.750401228781556
dev,DEV_005,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_005/front.png,-10.908707618713379,-10.908707618713379,79.9839662335313,79.9839662335313,0.033013237847222224,23,0.0,38,163.61007690429688,144.13558959960938,0.2467634528875351,0.3753530979156494,516,0.033013237847222224,79.9839662335313,1.3580134027189925,467.38568115234375,5.813024997711182,0.6403924226760864,0.1083102756076389,-10.908707618713379,10.908707618713379,79.9839662335313,79.9839662335313,23.0,38,163.61007690429688,144.13558959960938,0.2467634528875351,0.3753530979156494,516,0.033013237847222224,79.9839662335313,1.3580134027189925,467.38568115234375,5.813024997711182,0.6403924226760864,0.1083102756076389,-10.908707618713379,10.908707618713379,79.9839662335313,79.9839662335313,23.0,,
dev,DEV_005,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_005/top.png,-9.460660651924025,,-139.26368350157205,,0.049872504340277776,33,-9.460660651924025,33,191.75393676757812,180.4805908203125,0.2622428834438324,0.4700015385945638,266,0.049872504340277776,-139.26368350157205,4.318522299655506,242.8278045654297,3.956782102584839,0.6229614615440369,0.03692626953125,9.272602081298828,9.272602081298828,40.73631649842795,40.73631649842795,,29,191.09524536132812,216.99090576171875,0.30960705876350403,0.565080483754476,216,0.0707736545138889,-135.77901799910157,5.580104403750595,102.5477523803711,2.933274269104004,0.5708062052726746,0.036905924479166664,18.908456802368164,18.908456802368164,44.22098200089843,44.22098200089843,,9.460660651924025,40.73631649842795
