epoch,loss,loss_cls,loss_img,loss_phys,loss_dom,domain_acc,dev_logloss,dev_acc,dev_auc,dev_phys_loss,dev_img_loss,lr,improved,patience_left
1,0.5514834777514139,0.354571660955747,0.27271986249710123,0.4924900798698266,0.383372092962265,0.8357777792612712,0.6666625186337144,0.65,0.8689903846153846,,0.7095905255812865,0.0002995391413931026,True,8
2,0.38592482953270274,0.21604741668204466,0.2741194429981212,0.4039925724193454,0.31973984001080197,0.8573888902664184,0.5493400280345956,0.89,0.9863782051282051,,0.7057647556066513,0.00029815940691897306,True,8
3,0.3566097502410412,0.20716785233219465,0.24639302363339813,0.36642191968485716,0.26132371624310813,0.8911111127535503,0.40770164315472435,0.91,0.9983974358974359,,0.6791031417938379,0.00029586930309945264,True,8
4,0.26900518533587453,0.14147336056207618,0.2247307724749359,0.311529108936588,0.21010922079905867,0.9138888905843099,0.22122872847524483,0.95,0.9983974358974359,,0.6676245343226653,0.0002926829491861254,True,8
5,0.28481529198090233,0.1684321072101593,0.19062144762945052,0.28785666133339205,0.20145753964036703,0.9161666677792867,0.18066443606574123,0.97,0.9975961538461539,,0.6918298751115799,0.0002886199901104373,True,8
6,0.20347575533141693,0.11055573846337696,0.13659240303530049,0.26169434436410666,0.13394857089966536,0.9511666679382325,0.10991970843270166,0.99,1.0,,0.704350872681691,0.0002837054753661609,True,8
7,0.19800386536121367,0.09387798857688903,0.12561436766091114,0.276494127754122,0.1998992912173271,0.9177222243944804,0.07854001126772751,0.99,1.0,,0.7163340357633737,0.00027796970457093673,True,8
8,0.23870332249005635,0.08917413129657507,0.10831963282978783,0.2674774272168676,0.531905049175024,0.7841666680971782,0.08553655648197328,0.97,0.998798076923077,,0.700730752486449,0.0002714480406590546,False,7
9,0.21618462744355202,0.09276536705282827,0.09773152135622998,0.26726299402676523,0.36871286354462307,0.8446666677792867,0.08315879806702242,0.96,0.9983974358974359,,0.6748945300395672,0.0002641806918572046,False,6
10,0.2122981458703677,0.09463800152763724,0.09930506288819015,0.23836926118812213,0.36727019023895263,0.8417777791023254,0.11159666683081419,0.96,0.9959935897435896,,0.6485445568194756,0.0002562124637873888,False,5
11,0.1743336044847965,0.06043223038362339,0.08467988946288824,0.22817284395173193,0.3704321223497391,0.8346666685740153,0.13426852810092488,0.93,0.9955929487179487,,0.6282859146595001,0.00024759248322536243,False,4
12,0.19607370080550512,0.07663086922032138,0.07647758947693122,0.21869112621759995,0.42821976606051126,0.8008888904253642,0.13915172654344685,0.93,0.9959935897435898,,0.6151839723953834,0.00023837389521772466,False,3
13,0.19447843029101688,0.07689001969496409,0.08183720254711807,0.22952976486769816,0.3960458223025004,0.8135555574099222,0.1347018284212555,0.95,0.9959935897435898,,0.6092851712153509,0.00022861353542503427,False,2
14,0.16899030767877896,0.05543726990620295,0.05528577517407636,0.2008396033256625,0.4339483156998952,0.7998333344459534,0.1351608893578427,0.96,0.9967948717948718,,0.6000162592301002,0.00021837157971106217,False,1
15,0.17010135381420452,0.05153004264396926,0.06522542803850956,0.20869318778719753,0.4469923698504766,0.7816666680971781,0.15144274303721758,0.92,0.9967948717948718,,0.5944682909892156,0.00020771117313858086,False,0
16,0.1916719391743342,0.07015866941632704,0.07582306585942085,0.20133088287276527,0.4658241990407308,0.7768888907432556,0.16098676743185053,0.94,0.9967948717948718,,0.599603981925891,0.00019669804065905458,False,-1
