policy,epoch,train_loss,val_logloss,val_acc,lr,improved,patience_left
raw,1,0.3076346430461854,0.692950462970101,0.52,0.0002991810233575568,True,5
raw,2,0.03996395233843941,0.6931442984503431,0.55,0.0002967330663097039,False,4
raw,3,0.03261111803658423,0.6932534416323793,0.49,0.0002926829491861254,False,3
raw,4,0.01319025331758894,0.6934481418032677,0.48,0.00028707504591756876,False,2
raw,5,0.01076409021152358,0.6933050980597202,0.48,0.00027997079786577355,False,1
raw,6,0.008762885818214272,0.6928764532897066,0.48,0.0002714480406590546,True,5
raw,7,0.0038814830677438295,0.6920038960188525,0.48,0.0002616001514088704,True,5
raw,8,0.010242368391118362,0.6904206111211956,0.48,0.0002505350256506492,True,5
raw,9,0.010178667847867473,0.6876550105097357,0.48,0.00023837389521772463,True,5
raw,10,0.014145750510579091,0.6837436998167707,0.48,0.00022524999999999992,True,5
raw,11,0.0030341225838128594,0.6785455513334996,0.48,0.0002113071281398321,True,5
raw,12,0.005110873188641563,0.6714786671653635,0.51,0.00019669804065905458,True,5
raw,13,0.0011127747725367954,0.663227679474057,0.51,0.00018158279777725494,True,5
raw,14,0.0022522403896800824,0.6533601346932764,0.53,0.00016612700525851415,True,5
raw,15,0.004261381036030798,0.6411003234497662,0.57,0.0001505,True,5
raw,16,0.006459189563884138,0.6274477325949361,0.62,0.0001348729947414858,True,5
raw,17,0.005225332648251424,0.613566590373888,0.64,0.00011941720222274492,True,5
raw,18,0.0032784701077162026,0.5987665449267641,0.67,0.00010430195934094534,True,5
raw,19,0.001848226112770135,0.5827218665891649,0.71,8.969287186016786e-05,True,5
raw,20,0.013610594238798512,0.5650671073030624,0.72,7.575000000000001e-05,True,5
raw,21,0.0075705520273459115,0.5506116348858313,0.75,6.262610478227527e-05,True,5
raw,22,0.006835418963191842,0.538760638145099,0.76,5.046497434935074e-05,True,5
raw,23,0.0025091585832797136,0.5258974404491193,0.77,3.939984859112959e-05,True,5
raw,24,0.0024477133160871745,0.5107056531982992,0.78,2.9551959340945373e-05,True,5
raw,25,0.00065005246506189,0.4949304905244523,0.79,2.1029202134226415e-05,True,5
raw,26,0.0006254083161820745,0.47913638633036415,0.84,1.3924954082431155e-05,True,5
raw,27,0.0008504598877152603,0.46386901428225324,0.84,8.317050813874547e-06,True,5
raw,28,0.0010063086880336414,0.4489704745511686,0.84,4.26693369029605e-06,True,5
raw,29,0.12651880442012953,0.4341127509493649,0.84,1.8189766424431266e-06,True,5
raw,30,0.0004492267285058915,0.4202801264000488,0.85,1e-06,True,5
