sigma,split,sample_id,view,image_path,fft_high_freq_ratio,laplacian_var,noise_residual_std,edge_density
0.0,dev,DEV_001,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_001/front.png,0.6370019912719727,327.0987548828125,5.252008438110352,0.05072021484375
0.0,dev,DEV_001,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_001/top.png,0.6150813698768616,175.18902587890625,3.6816675662994385,0.034172905815972224
0.0,dev,DEV_002,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_002/front.png,0.6530541777610779,571.7694702148438,6.555159091949463,0.05831570095486111
0.0,dev,DEV_002,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_002/top.png,0.5918287038803101,283.1862487792969,5.020726680755615,0.042107476128472224
0.0,dev,DEV_003,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_003/front.png,0.6273849606513977,544.7327270507812,6.683262825012207,0.06736246744791667
0.0,dev,DEV_003,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_003/top.png,0.5882816314697266,228.49981689453125,4.495984077453613,0.03839111328125
0.0,dev,DEV_004,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_004/front.png,0.6303703188896179,475.6955871582031,5.658691883087158,0.07288275824652778
0.0,dev,DEV_004,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_004/top.png,0.6359888911247253,259.0885009765625,4.322821617126465,0.038201226128472224
0.0,dev,DEV_005,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_005/front.png,0.6403924226760864,467.38568115234375,6.017391204833984,0.0675930447048611
0.0,dev,DEV_005,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_005/top.png,0.6229614615440369,242.8278045654297,4.094111442565918,0.034423828125
0.0,dev,DEV_006,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_006/front.png,0.6210659742355347,323.7319030761719,5.217376708984375,0.044182671440972224
0.0,dev,DEV_006,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_006/top.png,0.5846682786941528,144.49029541015625,3.5710716247558594,0.036783854166666664
0.0,dev,DEV_007,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_007/front.png,0.6503294706344604,450.52178955078125,5.69495964050293,0.04190402560763889
0.0,dev,DEV_007,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_007/top.png,0.6303768754005432,277.4619445800781,4.283574104309082,0.03622097439236111
0.0,dev,DEV_008,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_008/front.png,0.6553371548652649,421.48565673828125,5.708714008331299,0.053609212239583336
