sigma,split,sample_id,view,image_path,crop_h,crop_w,mask_area_ratio,fft_high_freq_ratio,laplacian_var,noise_residual_std,edge_density
0.0,dev,DEV_001,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_001/front.png,384,384,0.016703287760416668,0.6370019912719727,327.0987548828125,5.252008438110352,0.05072021484375
0.0,dev,DEV_001,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_001/top.png,155,105,0.3477726574500768,0.4570324718952179,72.05891418457031,2.267934560775757,0.002457757296466974
0.0,dev,DEV_002,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_002/front.png,269,197,0.30460626875247676,0.732597827911377,301.8701477050781,4.3006696701049805,0.017172079331232427
0.0,dev,DEV_002,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_002/top.png,239,109,0.5622432920041457,0.7084749341011047,509.6363220214844,6.0216264724731445,0.036313385282714675
0.0,dev,DEV_003,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_003/front.png,226,127,0.34725803079924744,0.7270723581314087,697.328125,6.564574718475342,0.026165424012263953
0.0,dev,DEV_003,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_003/top.png,85,101,0.5429237041351194,0.6915356516838074,607.7630615234375,6.247207164764404,0.0448456610366919
0.0,dev,DEV_004,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_004/front.png,301,114,0.48321384857492566,0.707851231098175,671.6943359375,6.320904731750488,0.032668881506090805
0.0,dev,DEV_004,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_004/top.png,83,110,0.36615553121577216,0.638140857219696,471.3134765625,5.258477687835693,0.02683461117196057
0.0,dev,DEV_005,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_005/front.png,229,81,0.5150681977465092,0.7093926072120667,830.7369384765625,7.0227437019348145,0.045393282656747
0.0,dev,DEV_005,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_005/top.png,99,118,0.3231467214518062,0.6120595335960388,332.1085510253906,4.751142978668213,0.020116418421503166
0.0,dev,DEV_006,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_006/front.png,318,153,0.34841945163809757,0.6772299408912659,442.7574768066406,5.3445143699646,0.02174538578534139
0.0,dev,DEV_006,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_006/top.png,166,167,0.23778948127840704,0.5936671495437622,137.24990844726562,3.0206315517425537,0.00858523916023375
0.0,dev,DEV_007,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_007/front.png,263,150,0.29160963244613436,0.6858240365982056,510.9300231933594,5.752107620239258,0.02585551330798479
0.0,dev,DEV_007,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_007/top.png,358,151,0.28051352251285655,0.6238561868667603,331.4677429199219,4.89656400680542,0.019608568574494063
0.0,dev,DEV_008,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_008/front.png,213,57,0.3633967547977926,0.7008948922157288,543.7318115234375,5.845652103424072,0.03138127007659995
0.0,dev,DEV_008,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_008/top.png,384,384,0.005995008680555556,0.6384422779083252,262.65704345703125,4.279999732971191,0.03895399305555555
0.0,dev,DEV_009,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_009/front.png,157,109,0.5435633728744229,0.721472978591919,1186.101318359375,8.805107116699219,0.04493659790802314
0.0,dev,DEV_009,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_009/top.png,86,90,0.6532299741602067,0.6343861818313599,508.5950927734375,6.03264045715332,0.05490956072351421
0.0,dev,DEV_010,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_010/front.png,223,153,0.4651660365192415,0.6815401315689087,666.0875244140625,6.810117721557617,0.043817227937512825
0.0,dev,DEV_010,top,/media/hdd0/whyz/structure-stability/data/dev/DEV_010/top.png,250,200,0.22126,0.6325893402099609,162.82203674316406,3.220841646194458,0.01178
0.0,dev,DEV_011,front,/media/hdd0/whyz/structure-stability/data/dev/DEV_011/front.png,359,258,0.19890522769968258,0.6917659044265747,300.4130859375,3.9724411964416504,0.018257001576299368
