task,model,auc,stage
dev_vs_test,logreg,0.22222222222222224,raw
dev_vs_test,rf,0.05555555555555556,raw
train_vs_dev,logreg,1.0,raw
train_vs_dev,rf,0.7777777777777779,raw
train_vs_test,logreg,0.7777777777777779,raw
train_vs_test,rf,0.7222222222222223,raw
dev_vs_test,logreg,0.0,step1
dev_vs_test,rf,0.0,step1
train_vs_dev,logreg,1.0,step1
train_vs_dev,rf,1.0,step1
train_vs_test,logreg,1.0,step1
train_vs_test,rf,1.0,step1
dev_vs_test,logreg,0.0,step2
dev_vs_test,rf,0.05555555555555556,step2
train_vs_dev,logreg,0.6666666666666666,step2
train_vs_dev,rf,1.0,step2
train_vs_test,logreg,1.0,step2
train_vs_test,rf,1.0,step2
dev_vs_test,logreg,0.0,step3
dev_vs_test,rf,0.11111111111111112,step3
train_vs_dev,logreg,1.0,step3
train_vs_dev,rf,1.0,step3
train_vs_test,logreg,1.0,step3
train_vs_test,rf,1.0,step3
dev_vs_test,logreg,0.0,step4
dev_vs_test,rf,0.22222222222222224,step4
train_vs_dev,logreg,1.0,step4
train_vs_dev,rf,1.0,step4
train_vs_test,logreg,1.0,step4
train_vs_test,rf,1.0,step4
