epoch,loss,loss_cls,loss_motion,loss_onset,loss_img,loss_dom,domain_acc,dev_logloss,dev_acc,dev_auc,dev_motion_loss,dev_onset_loss,dev_img_loss,lr,improved,patience_left
1,0.4810428870643707,0.2710864124918713,0.2167805056013365,1.060265681607292,0.29026951648770494,0.5324849617925096,0.7282025728453981,0.6569089251452922,0.83,0.9338942307692307,,,0.7395772933959961,0.0002999262307746768,True,5
2,0.2974881590839396,0.15284123753217307,0.11906856451025034,0.7882278948784509,0.18471799052984236,0.3830152556617209,0.8204565612559623,0.5481014813898123,0.95,0.9859775641025641,,,0.7023898874010358,0.00029970499590002654,True,5
3,0.2759865942866878,0.13801913362670135,0.10631881052865944,0.7726112957647506,0.13643964096789862,0.3950178479339848,0.8194481400733299,0.4290701060898908,0.97,0.9827724358974359,,,0.6848745005471366,0.0002993365137081604,True,5
4,0.2763204316192485,0.14363538955358116,0.10934185113341725,0.7825925758385912,0.1283518389025901,0.3713600886787506,0.8289561179724145,0.33800126273766096,0.96,0.9767628205128205,,,0.6749347448348999,0.0002988211478465144,True,5
5,0.19994495468253784,0.10286427933990241,0.0671802195138298,0.6218129168759953,0.07866476407953281,0.28067888406679986,0.8820811193040077,0.2648181896881756,0.96,0.9787660256410257,,,0.6597893238067627,0.000298159406918973,True,5
6,0.17412026343431244,0.0729366897765121,0.08299617530181112,0.609680869269799,0.07218383161469977,0.30033394722069834,0.8608266860246658,0.20811962940010317,0.96,0.9823717948717948,,,0.6428101488522121,0.0002973519439839389,True,5
7,0.1710415692365867,0.07709482098939492,0.06039443563202711,0.5448097312263154,0.055853992967155486,0.29939672965160075,0.8747340443920582,0.16066599778909357,0.96,0.985977564102564,,,0.6295306001390729,0.00029639955590984266,True,5
8,0.1988085228355324,0.07982218256306914,0.096680311705797,0.5838577197121575,0.06734054319763635,0.3907950474147467,0.8249667575384708,0.1327894424400449,0.96,0.9863782051282051,,,0.6165165219988141,0.00029530318258873023,True,5
9,0.21702571094353149,0.08859323919131519,0.0928852042688572,0.6328314919064336,0.0805799285571606,0.4211619422632329,0.8044437078085351,0.11195200428910392,0.98,0.9879807692307692,,,0.6043552202837807,0.0002940639060087029,True,5
10,0.23331872383727037,0.09260284629194661,0.10378957238169684,0.5661786413996758,0.12425959695556617,0.4563869995243372,0.7840647177493318,0.1036892056782219,0.98,0.9891826923076923,,,0.6041334739753178,0.00029268294918612537,True,5
11,0.20821288469782534,0.07904352077550472,0.05634070683609412,0.5051712166181112,0.08084865494636184,0.4659389596670232,0.7933399842140523,0.09838221137216546,0.98,0.9883814102564102,,,0.597865607057299,0.00029116167495865663,True,5
12,0.175958958394984,0.054317291962240444,0.045206915579910856,0.49421994249519713,0.050146094236047344,0.45886921319872775,0.7859485834202868,0.09100092903460164,0.98,0.9911858974358974,,,0.5903652906417847,0.0002895015846402935,True,5
13,0.1891343725171495,0.061143981126270834,0.05285217842468595,0.5271108641408067,0.051395043251451424,0.4799220424858814,0.7638187085060363,0.09597860659989674,0.97,0.9911858974358974,,,0.5828703088419778,0.0002877043165397551,False,4
14,0.23835015090856146,0.08624368622351655,0.07535221121469611,0.5845539416918751,0.06717000155588315,0.5670620683342853,0.7306294342938889,0.08506486692044227,0.97,0.9967948717948718,,,0.5763897725514003,0.0002857716443436699,True,5
15,0.19094162077662793,0.07476711984255668,0.06017972142271514,0.517096493670598,0.062465817108378806,0.4106817033855205,0.8130319169227113,0.07556506259526208,0.96,0.9971955128205128,,,0.573985755443573,0.00028370547536616097,True,5
16,0.16945830514614887,0.05527510354666911,0.05691288840473057,0.5383483723184946,0.04689472137722484,0.4102044440013297,0.8165115263867886,0.07605883583634064,0.95,0.9971955128205128,,,0.5706150361469814,0.00028150784866655756,False,4
17,0.1914712975515013,0.05669422167975039,0.0714918432516997,0.49328757081418595,0.051403007658781794,0.5106292486666365,0.7648603738622463,0.07935209041264554,0.96,0.9971955128205128,,,0.5681319917951312,0.00027918093303708956,False,3
18,0.1711856501692153,0.0433495291056696,0.06679551731274919,0.49346062441931127,0.05324581391400995,0.4768593278812601,0.770168441407224,0.09997259616301232,0.95,0.9971955128205128,,,0.5663988292217255,0.00027672702486255125,False,2
19,0.20069235840693433,0.055844832613923034,0.08139056342832268,0.5329150887245827,0.07090226989338531,0.5342613865244896,0.747118796439881,0.10234001329360666,0.95,0.9971955128205128,,,0.5657666070120675,0.000274148545854047,False,1
20,0.1932142611910054,0.042958506004342395,0.05569380958579441,0.4938561093319762,0.05373794875885459,0.5940679256269272,0.7219968986638049,0.10933432114778235,0.95,0.9975961538461539,,,0.5673970707825252,0.00027144804065905466,False,0
21,0.18405355013748434,0.04579516083213867,0.054296512824564956,0.49180765736332915,0.05162470722868246,0.5367340852922582,0.7267176421715859,0.11354502853866205,0.94,0.9975961538461539,,,0.5672816591603416,0.0002686281743501657,False,-1
