epoch,loss,loss_cls,loss_phys,loss_img,loss_dom,domain_acc,dev_logloss,dev_acc,dev_auc,dev_phys_loss,dev_img_loss,lr,improved,patience_left
1,0.5306252845107241,0.3264474093398832,0.28150370808199365,0.30214635527474765,0.5831517982990184,0.6769946821509524,0.6711809338811398,0.65,0.8717948717948718,2.0833463839122226,0.7229956303324018,0.0002998494634479265,True,5
2,0.3860439406113422,0.2087534134414919,0.23588477084016862,0.26925542078506043,0.5075974667325933,0.7487810304824342,0.5791816964122753,0.89,0.9623397435897436,2.0845367397580827,0.7216609290667942,0.0002993981569522882,True,5
3,0.3584812774937204,0.19034534986031817,0.20450321075684846,0.23325420142785508,0.5123615577182872,0.7412788135574219,0.4429554128570784,0.92,0.9887820512820513,2.0826482432229176,0.7094854967934745,0.0002986469893843062,True,5
4,0.32375894328381155,0.16818069416950357,0.17821571674752743,0.18036946010815494,0.5089523446686725,0.76097074515642,0.3302208877662154,0.94,0.9899839743589745,2.072381087711879,0.6965668797492981,0.0002975974734954951,True,5
5,0.3027698388917649,0.16789621740401267,0.16920149402613652,0.15428957294182297,0.4317497780665438,0.7978169344207073,0.24860061785098295,0.94,0.9939903846153847,2.066529597554888,0.6843052506446838,0.0002962517228711826,True,5
6,0.27415654562572217,0.13145370202812742,0.17454966729843713,0.14005095031337833,0.47756373826810655,0.7717087785614297,0.19546180810023406,0.97,0.9951923076923077,2.05415027482169,0.6706452114241463,0.00029461244767403004,True,5
7,0.2424324977984454,0.11344831557746263,0.157799439683081,0.12020098899634793,0.43642057494280184,0.7907358173360216,0.15435360380460142,0.98,0.9951923076923077,2.0434210300445557,0.6556633881160191,0.0002926829491861254,True,5
8,0.24877636784568746,0.1172668361005948,0.15540931973745056,0.12056189524183208,0.4505692332031879,0.7865137438824836,0.1311340760621447,0.97,0.9959935897435898,2.0272024359021867,0.6382503892694201,0.00029046711316064067,True,5
9,0.22634491863402914,0.100118797708382,0.15280107412972746,0.11725479663111904,0.4285886884924579,0.8004321830069765,0.11202691241661482,0.97,0.9963942307692308,2.0258449145725796,0.62173273733684,0.00028796940199644184,True,5
10,0.24371131394613296,0.10396459219640398,0.1589316199607949,0.1158053080050988,0.4926808939335194,0.7641289909469321,0.11129392138416477,0.97,0.9975961538461539,2.022157073020935,0.6086822407586234,0.00028519484575141157,True,5
11,0.2093777827363699,0.09282980136018484,0.1256488466491685,0.08605749104196761,0.4239601342284933,0.7965536368020038,0.10904071405346379,0.96,0.9971955128205128,2.0223109211240495,0.5981652779238564,0.00028214903201258224,True,5
12,0.2098823412063908,0.09473539639680469,0.13354048116301048,0.0889938717913576,0.4088339456852446,0.8136081597272385,0.10727294775654268,0.97,0.9963942307692307,2.0241240092686246,0.58947206395013,0.0002788380946434789,True,5
13,0.2217137477895681,0.09544271205680722,0.1219962196439465,0.0810668403474723,0.4790578649399128,0.7757424664624194,0.10816457112078579,0.96,0.9955929487179487,2.027318971497672,0.5818808845111302,0.0002752687014313346,False,4
14,0.23517371615038274,0.10125748757173882,0.14426996701823033,0.09782575769969164,0.48800933107416683,0.7714539021253586,0.10154067670304448,0.96,0.9951923076923077,2.0244435582842146,0.5796056730406625,0.00027144804065905455,True,5
15,0.2233365892056138,0.09461904990615601,0.12316133307808257,0.08035891670071113,0.49094748504935426,0.7815159592539707,0.10246090864260654,0.96,0.9947916666666667,2.023138063294547,0.5816182451588767,0.0002673838066289704,False,4
16,0.2022874876064189,0.0833725493272489,0.11528750533545191,0.06728204218249649,0.45764751700644796,0.7804188850395223,0.10773827084192225,0.95,0.9963942307692307,2.0244127682277133,0.5815087173666272,0.0002630841841675398,False,3
17,0.20422166696888336,0.08597270638231148,0.11617288592350768,0.07847664006050686,0.44525764510035515,0.7947805872622956,0.09405619753905875,0.96,0.9979967948717949,2.0354853187288557,0.5765665173530579,0.00025855783214219497,True,5
18,0.19703275670713566,0.07398883221507509,0.10279326615706483,0.06248219099491488,0.4912630037424412,0.7648271295301458,0.08746723554519084,0.95,0.9983974358974359,2.048132930483137,0.5758711057049888,0.0002538138660235362,True,5
19,0.1924622446457122,0.0732367566546445,0.11861766199581325,0.08578484608470388,0.4428255424854603,0.7881316510920829,0.09190372487507306,0.95,0.9975961538461539,2.0548288992473056,0.576818551336016,0.00024886183952798697,False,4
20,0.2272955807361831,0.08592893233512865,0.1248261403624325,0.09363692886836361,0.5429859201007701,0.7241023945364546,0.08157006834356847,0.97,0.9979967948717948,2.065942747252328,0.577004326241357,0.0002437117253778806,True,5
21,0.2000342162048563,0.0661698249044848,0.11478654339914507,0.07870019506198661,0.5242068883269391,0.7246232283242205,0.07863969928647405,0.97,0.9979967948717948,2.068535327911377,0.5772808790206909,0.00023837389521772463,True,5
22,0.20808424459809952,0.07686339376712258,0.11320603380668313,0.06413625489964962,0.5230975225567818,0.743506207903649,0.09393273258205971,0.95,0.9971955128205128,2.0682876791272844,0.5758309704916817,0.00023285909872708922,False,4
23,0.19979612093339574,0.06097400010014795,0.1251199465353993,0.08239867609796768,0.5384716194994906,0.7339982288949033,0.11352222289489416,0.94,0.9971955128205129,2.0674952609198436,0.5767966508865356,0.0002271784419721829,False,3
24,0.18437770912621884,0.05558655585813772,0.10058579208611688,0.06163671627879747,0.5222888696700969,0.7277371472817786,0.11987619477127226,0.95,0.9971955128205129,2.068377750260489,0.5799924220357623,0.0002213433650397132,False,2
