split,sample_id,view,image_path,brightness_mean
train,TRAIN_0001,front,data/train/TRAIN_0001/front.png,234.4921129014757
train,TRAIN_0001,top,data/train/TRAIN_0001/top.png,240.76268853081598
train,TRAIN_0002,front,data/train/TRAIN_0002/front.png,232.32290310329861
train,TRAIN_0002,top,data/train/TRAIN_0002/top.png,243.36835394965277
train,TRAIN_0003,front,data/train/TRAIN_0003/front.png,241.00164116753473
train,TRAIN_0003,top,data/train/TRAIN_0003/top.png,245.54890950520834
train,TRAIN_0004,front,data/train/TRAIN_0004/front.png,241.27506510416666
train,TRAIN_0004,top,data/train/TRAIN_0004/top.png,244.95448133680554
train,TRAIN_0005,front,data/train/TRAIN_0005/front.png,241.06644694010416
train,TRAIN_0005,top,data/train/TRAIN_0005/top.png,245.65982394748264
train,TRAIN_0006,front,data/train/TRAIN_0006/front.png,234.60716417100696
train,TRAIN_0006,top,data/train/TRAIN_0006/top.png,241.07206217447916
train,TRAIN_0007,front,data/train/TRAIN_0007/front.png,234.15024142795139
train,TRAIN_0007,top,data/train/TRAIN_0007/top.png,238.9561971028646
train,TRAIN_0008,front,data/train/TRAIN_0008/front.png,232.17683919270834
train,TRAIN_0008,top,data/train/TRAIN_0008/top.png,240.14288330078125
train,TRAIN_0009,front,data/train/TRAIN_0009/front.png,241.1000230577257
train,TRAIN_0009,top,data/train/TRAIN_0009/top.png,245.50399441189236
train,TRAIN_0010,front,data/train/TRAIN_0010/front.png,234.36494954427084
train,TRAIN_0010,top,data/train/TRAIN_0010/top.png,242.54906548394098
train,TRAIN_0011,front,data/train/TRAIN_0011/front.png,240.52316623263889
train,TRAIN_0011,top,data/train/TRAIN_0011/top.png,245.38995361328125
train,TRAIN_0012,front,data/train/TRAIN_0012/front.png,231.901123046875
train,TRAIN_0012,top,data/train/TRAIN_0012/top.png,242.50648328993054
train,TRAIN_0013,front,data/train/TRAIN_0013/front.png,234.20260959201389
train,TRAIN_0013,top,data/train/TRAIN_0013/top.png,240.12167019314236
train,TRAIN_0014,front,data/train/TRAIN_0014/front.png,234.0156724717882
train,TRAIN_0014,top,data/train/TRAIN_0014/top.png,242.5352308485243
train,TRAIN_0015,front,data/train/TRAIN_0015/front.png,240.3655259874132
train,TRAIN_0015,top,data/train/TRAIN_0015/top.png,245.42943657769098
