policy,epoch,train_loss,val_logloss,val_acc,lr,improved,patience_left
brightness_only,1,0.34045027545653284,0.6928247525276994,0.52,0.0002991810233575568,True,5
brightness_only,2,0.04398759806645103,0.6927057979063018,0.53,0.0002967330663097039,True,5
brightness_only,3,0.03025235350651201,0.6924332971512984,0.57,0.0002926829491861254,True,5
brightness_only,4,0.010871279268030776,0.6917910352220672,0.61,0.00028707504591756876,True,5
brightness_only,5,0.008182454173947917,0.6907361476428939,0.56,0.00027997079786577355,True,5
brightness_only,6,0.017619920854485827,0.6892333799262157,0.59,0.0002714480406590546,True,5
brightness_only,7,0.024754574969847454,0.6869227072208897,0.63,0.0002616001514088704,True,5
brightness_only,8,0.021438110850795056,0.6837610521015808,0.67,0.0002505350256506492,True,5
brightness_only,9,0.02047740599118697,0.6797010915524985,0.64,0.00023837389521772463,True,5
brightness_only,10,0.004968863661815703,0.6745175320449067,0.64,0.00022524999999999992,True,5
brightness_only,11,0.0009728972186167084,0.6690013767340572,0.64,0.0002113071281398321,True,5
brightness_only,12,0.0024570118912379257,0.66292938711915,0.63,0.00019669804065905458,True,5
brightness_only,13,0.0014559626838490658,0.6568365357593438,0.63,0.00018158279777725494,True,5
brightness_only,14,0.008555261222454646,0.6500624033801,0.63,0.00016612700525851415,True,5
brightness_only,15,0.005402203637004277,0.6423521996945919,0.63,0.0001505,True,5
brightness_only,16,0.0014679732953482016,0.6342033621895747,0.64,0.0001348729947414858,True,5
brightness_only,17,0.05064701946935202,0.6264571348169862,0.65,0.00011941720222274492,True,5
brightness_only,18,0.024547984239688958,0.6185504685550043,0.66,0.00010430195934094534,True,5
brightness_only,19,0.001274383482268604,0.6090295596713468,0.68,8.969287186016786e-05,True,5
brightness_only,20,0.0028035884756718588,0.598951928866479,0.69,7.575000000000001e-05,True,5
brightness_only,21,0.0008894776192391873,0.5881258224371768,0.69,6.262610478227527e-05,True,5
brightness_only,22,0.0030517899808728544,0.5770244195763629,0.7,5.046497434935074e-05,True,5
brightness_only,23,0.0005584688624367118,0.5667244794102916,0.7,3.939984859112959e-05,True,5
brightness_only,24,0.0016052068667704589,0.5558548405232022,0.72,2.9551959340945373e-05,True,5
brightness_only,25,0.0005709816937269352,0.5445452850991654,0.73,2.1029202134226415e-05,True,5
brightness_only,26,0.00047680354236945277,0.533276438890742,0.74,1.3924954082431155e-05,True,5
brightness_only,27,0.0009466628439440683,0.5223433162416649,0.74,8.317050813874547e-06,True,5
brightness_only,28,0.0010321637225843006,0.5112341109796189,0.74,4.26693369029605e-06,True,5
brightness_only,29,0.12938677419560918,0.5001421557942712,0.75,1.8189766424431266e-06,True,5
brightness_only,30,0.0005800469198220526,0.49013540366595515,0.75,1e-06,True,5
