split,sample_id,label,view,image_path,width,height,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness_mean,brightness_std,saturation_mean,saturation_std,hue_entropy,laplacian_var,noise_residual_std,fft_high_freq_ratio,edge_density,structure_area_ratio,structure_bbox_w,structure_bbox_h,structure_center_x,structure_center_y,checker_line_count,vp_x,vp_y,vp_spread,vp_pitch_proxy,vp_intersections,distortion_proxy,shadow_area_ratio,shadow_angle_deg,shadow_elongation,chessboard_found,chessboard_nx,chessboard_ny
train,TRAIN_0001,unstable,front,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0001/front.png,384,384,200.79944525824652,212.59604220920139,233.07830132378473,45.62755162511943,41.79842058492225,38.22055420103094,0.9195769133391204,0.13082299606684175,0.16157785054125817,0.13514561313089024,0.5189346897701952,572.7112426757812,6.581039905548096,0.62257981300354,0.0987820095486111,0.07164849175347222,0.3046875,0.4973958333333333,0.45419328758479255,0.4648606345638113,40,214.76502990722656,129.42269897460938,0.32337871193885803,0.3370382785797119,571,0.11691325745126926,0.0,,,1,5,5
train,TRAIN_0001,unstable,top,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0001/top.png,384,384,208.27650282118054,220.25269232855902,239.65182156032986,44.995642363140576,37.36964189785116,29.52565661713589,0.9441674060031999,0.09648893249770764,0.14979120391646242,0.14465951497668694,0.44046468798155797,237.1896209716797,4.680791854858398,0.5566816329956055,0.04350450303819445,0.04994032118055555,0.3645833333333333,0.1796875,0.43706715100488863,0.497104438258193,28,191.0,192.0,0.3164089322090149,0.5,175,0.0,,,,0,-1,-1
train,TRAIN_0002,unstable,front,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0002/front.png,384,384,201.10653347439236,211.47217475043402,230.89662000868054,47.22341244216301,45.06528059902688,41.01689631589678,0.9110702082482298,0.14307091246877757,0.15525535300925927,0.13632452974573028,0.5403893952569964,665.1175537109375,6.839602947235107,0.6286363005638123,0.1092529296875,0.08350965711805555,0.5442708333333334,0.34375,0.7001433412511505,0.5202162342320394,40,148.8734588623047,123.3624496459961,0.364797979593277,0.3212563792864482,595,0.0740563012754768,0.003716362847222222,-168.39073797507874,1.7772251791125884,1,5,5
train,TRAIN_0002,unstable,top,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0002/top.png,384,384,210.58756510416666,223.1883544921875,243.09313286675348,42.71041053124515,32.46737610407617,19.420228908064214,0.9543857017633443,0.06913867716098845,0.14331623817061545,0.1405180162390181,0.3715864911138198,226.4598846435547,4.669459819793701,0.5411472320556641,0.039957682291666664,0.028544108072916668,0.5390625,0.09375,0.7077622604339906,0.4864415043161479,31,192.0,192.0,0.292971670627594,0.5,224,0.0,,,,0,-1,-1
train,TRAIN_0003,unstable,front,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0003/front.png,384,384,208.85188802083334,220.76919216579861,240.72840711805554,40.33863272282121,32.173579518964246,22.811213821753434,0.9451044751668028,0.08229389821256163,0.14075738911015795,0.12732943393889415,0.4225495462032827,408.95880126953125,5.985054016113281,0.6083016991615295,0.1000094943576389,0.017896864149305556,0.1015625,0.3333333333333333,0.5202412529998737,0.47727891720348614,40,212.1055908203125,123.07707214355469,0.3729812502861023,0.32051320870717365,593,0.09252096556088239,0.0017768012152777778,159.62109792918517,2.811688093390575,0,-1,-1
train,TRAIN_0003,unstable,top,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0003/top.png,384,384,212.47281222873264,225.54049343532986,245.50775824652777,41.05064006407914,28.32581043540491,10.718752886526646,0.9629369000204249,0.039908203777055555,0.14021142365366285,0.13846427323692156,0.33234642788727975,165.88156127929688,4.0252556800842285,0.5451313257217407,0.03675672743055555,0.0040283203125,0.057291666666666664,0.08854166666666667,0.5078388047138047,0.4698635662177329,32,191.0,277.0,0.27082547545433044,0.7213541666666666,240,0.0,,,,0,-1,-1
train,TRAIN_0004,unstable,front,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0004/front.png,384,384,207.90428331163196,220.26265462239584,240.9208780924479,39.15516362125257,30.98030316519385,21.47094875373787,0.9461767258986927,0.07504179708122795,0.14449734157986113,0.12645908520535973,0.40601394983672606,445.26531982421875,5.982576370239258,0.606666088104248,0.09912109375,0.013990614149305556,0.23697916666666666,0.1796875,0.5967215018581354,0.5210794857812248,40,217.07089233398438,130.24072265625,0.3346378207206726,0.3391685485839844,587,0.09118218496688335,0.004672580295138889,-158.99999867688706,5.492105247597343,0,-1,-1
train,TRAIN_0004,unstable,top,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0004/top.png,384,384,212.10861545138889,224.89202880859375,244.69296603732639,41.207098245906394,29.560683312045377,14.930925789260717,0.9606058091639433,0.049643455580595984,0.14045372923474947,0.13882474966220354,0.33982222412033236,170.957763671875,4.131543159484863,0.542333722114563,0.03792995876736111,0.0098876953125,0.2421875,0.07291666666666667,0.6133008973479652,0.49507208790580703,29,191.0,192.0,0.32040777802467346,0.5,171,0.0,,,,0,-1,-1
train,TRAIN_0005,stable,front,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0005/front.png,384,384,208.9850599500868,220.7188245985243,240.60643853081598,39.60112864854889,32.26506939622432,24.19997920758027,0.9453586154513889,0.08303788656973762,0.14107830903628812,0.12638128653550892,0.4284759323132975,397.7137451171875,5.935009479522705,0.6056182980537415,0.10137939453125,0.015964084201388888,0.06510416666666667,0.296875,0.502459244902294,0.4836360096290003,40,190.0291290283203,128.06907653808594,0.33138591051101685,0.33351322015126544,580,0.11210320621811497,0.001003689236111111,148.4531196047567,1.5922300503503632,0,-1,-1
train,TRAIN_0005,stable,top,/media/hdd0/whyz/structure-stability/data/train/TRAIN_0005/top.png,384,384,212.75851779513889,225.69390190972223,245.57499186197916,40.66297197925751,28.20974260098171,11.142494492361374,0.963371858617579,0.03902399479485674,0.13950232545275054,0.137758329407189,0.32855908027359426,145.28652954101562,3.861267566680908,0.519623339176178,0.036444769965277776,0.00244140625,0.052083333333333336,0.0625,0.5026041666666666,0.49262152777777773,28,191.0,192.0,0.31120064854621887,0.5,182,0.0,,,,0,-1,-1
