top_area_frac,top_support_width_frac,top_support_height_frac,top_fill_ratio,top_centroid_dx,top_centroid_dy,front_height_frac,front_width_frac,front_slenderness,front_base_width_frac,front_top_width_frac,front_centroid_dx,front_tilt,front_top_heaviness,collapse_margin_proxy,split,sample_id,label
0.050482855902777776,0.3645833333333333,0.1796875,0.770600414078675,-0.12281431555790634,-0.004940632440236126,0.5,0.3072916666666667,1.6271186440677967,0.2760416666666667,0.09375,-0.09006865147780396,-0.12624044575686155,0.3088111100684996,0.6774738766058823,train,TRAIN_0001,unstable
0.03292507595486111,0.5390625,0.09375,0.6515029522275899,0.3906698969864988,-0.030369487997891853,0.8255208333333334,1.0,0.8255208333333334,1.0,0.9401041666666666,0.0504880200244926,0.015640829706465742,0.5067113563421922,0.9477338569491025,train,TRAIN_0002,unstable
0.004950629340277778,0.057291666666666664,0.1171875,0.7373737373737373,0.02150291498265311,-0.07840766837154411,0.8385416666666666,1.0,0.8385416666666666,1.0,1.0,0.001880183635986965,0.0016271976104257346,0.5236993120065946,0.8576235468502069,train,TRAIN_0003,unstable
0.012715657552083334,0.2421875,0.07291666666666667,0.7200460829493087,0.22173994778067896,-0.018928459530026087,0.8385416666666666,1.0,0.8385416666666666,1.0,0.75,0.007189027373004864,-0.0002727048505977714,0.4299709408550697,0.8881472085484755,train,TRAIN_0004,unstable
0.0037095811631944445,0.052083333333333336,0.08072916666666667,0.882258064516129,0.01342714354585417,-0.03817165550522439,0.8515625,1.0,0.8515625,1.0,1.0,0.0006751025593094706,0.0006129147714465932,0.49854054400821146,0.8843958774153139,train,TRAIN_0005,stable
0.044820149739583336,0.2682291666666667,0.1796875,0.9299282397636134,-0.08204533180681295,-0.0029997072589121876,0.421875,0.3020833333333333,1.396551724137931,0.2552083333333333,0.11458333333333333,-0.0714210014162805,-0.08427987031913259,0.36531365313653136,0.6882999769838092,train,TRAIN_0006,unstable
0.06955973307291667,0.4114583333333333,0.203125,0.8322784810126582,0.30379584113861235,-0.014398369221707119,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.029143822862035984,0.003498215706602248,0.488804496430199,0.9519376925838327,train,TRAIN_0007,unstable
0.057427300347222224,0.3255208333333333,0.20052083333333334,0.8797922077922078,-0.21361883348893884,-0.01871644563282937,0.8411458333333334,1.0,0.8411458333333334,1.0,1.0,-0.013364457875253644,-0.010101036325360913,0.5232285312060065,0.9430002882662989,train,TRAIN_0008,unstable
0.005072699652777778,0.0625,0.109375,0.7420634920634921,0.02613758534508026,-0.07230421245165519,0.8411458333333334,1.0,0.8411458333333334,1.0,1.0,0.00033571738635429504,-0.002209791148968243,0.5041952831411171,0.8608273145536701,train,TRAIN_0009,unstable
0.03264024522569445,0.18229166666666666,0.1796875,0.99648033126294,0.01076230118711341,-0.002213869204325314,0.5104166666666666,0.2838541666666667,1.798165137614679,0.28125,0.07552083333333333,0.011756316681791557,-0.004321405466167438,0.28472417345696355,0.685098408546648,train,TRAIN_0010,stable
0.007982042100694444,0.125,0.09114583333333333,0.700595238095238,0.09621088264849997,-0.03376952956026191,0.8307291666666666,1.0,0.8307291666666666,1.0,1.0,0.002687396760270744,0.0005678987010756531,0.5244897959183673,0.8606955906619546,train,TRAIN_0011,unstable
0.03578016493055555,0.18489583333333334,0.20052083333333334,0.9650631059081763,0.013876324535756712,-0.022425803233322217,0.8307291666666666,1.0,0.8307291666666666,1.0,0.8958333333333334,0.002992903119382051,0.00025301091878726645,0.5008837328877177,0.9558726854470863,train,TRAIN_0012,stable
