split,sample_id,label,target,pc1,pc2,pc3,pc4,pc5,cluster_id
dev,DEV_001,unstable,1,12.371615903962844,-17.425215884451045,-10.865278693258793,-0.8077882530131419,-1.0719325996421638,2
dev,DEV_002,unstable,1,17.742383051292737,-2.7346706141504598,-2.11073433933871,-1.378737285535536,-0.40344297668052853,2
dev,DEV_003,unstable,1,5.1325042576144995,0.38431628051222416,-3.712225070099343,-1.3333549959086304,-1.598228769633379,1
dev,DEV_004,stable,0,11.190884093197539,-0.38180401555835214,-15.22830438257634,4.231988161189916,3.410549931832475,2
dev,DEV_005,stable,0,11.382800778688143,-7.036694722157849,-12.23695710563966,1.3080776920249932,-2.1845934510881437,2
dev,DEV_006,stable,0,11.975822741635742,-4.812751082642961,-16.40873240021777,0.1889375288111402,-2.8174714234079197,2
dev,DEV_007,stable,0,19.50371929999186,-8.202270503040713,-12.51360217334611,-1.7788405054212517,-0.40511749056140617,2
dev,DEV_008,unstable,1,10.909634978647876,-13.859671384712465,-11.45970090603379,-1.0837388820831018,0.0073475354801397705,2
dev,DEV_009,stable,0,8.542984616513431,-5.745424957169814,-6.575348536685023,4.008947432704413,-3.8868838873722,2
dev,DEV_010,stable,0,16.25324405346235,-5.657644108354012,-13.263640653576415,-0.5104971776071607,-1.67631821640522,2
dev,DEV_011,stable,0,14.381753319878596,2.2151003178358346,-11.463615538885866,-0.09092264647692945,-0.2556252563200438,2
dev,DEV_012,stable,0,3.154514713532766,-10.513820672458142,-4.296777576440859,5.260040334667425,4.796976158707476,2
dev,DEV_013,unstable,1,5.4418195755681085,-14.195718751908752,-7.470207357011154,-1.303041765663015,-2.1699183233946817,2
dev,DEV_014,stable,0,5.689982132278975,-14.156630721460846,-7.2366233265802045,1.0094706546190608,5.011090987605965,2
dev,DEV_015,unstable,1,10.964898143203184,-8.765189344940367,-10.380068414395158,-0.6933532856193407,-0.4483245939800878,2
dev,DEV_016,stable,0,19.046407145638586,-11.06050666419032,-13.598848152373714,-3.0189472678171363,-1.4028114870932877,2
dev,DEV_017,unstable,1,3.7342422168294274,-7.905547901352419,-5.343971698590823,2.3755435579335145,5.025661911023676,2
dev,DEV_018,unstable,1,13.35880564948963,-14.167499882457577,-10.14560090855935,-2.7149630814106422,0.28191924365882054,2
dev,DEV_019,stable,0,11.20240201799999,-5.721238153592823,-10.925132662802401,-2.0560542660636103,-1.3870385100383569,2
dev,DEV_020,stable,0,5.720259092081012,-15.880644575420021,-11.156172550369396,-2.609345077551674,-2.5911121573575806,2
dev,DEV_021,unstable,1,17.595017409404587,-9.265717772207472,-4.405986974502596,-2.0981250101300275,-1.5173548086951323,2
dev,DEV_022,unstable,1,6.057523571553235,-3.7201120802454555,-7.386062300902205,5.990144270549407,3.112436164784039,2
dev,DEV_023,stable,0,8.772421159782395,-11.822259934492568,-10.298423180567934,4.925461687312429,4.950154799466318,2
dev,DEV_024,stable,0,7.876076478545745,-7.857634784098888,-13.727650131600738,-2.247284884629989,-2.734157287541056,2
dev,DEV_025,unstable,1,17.010195749594793,-7.320468744601371,-12.433668665267806,-0.8145362654952385,-2.2057503159058673,2
dev,DEV_026,stable,0,15.838543716600443,-10.93944765136928,-6.752855959842177,7.31612413942478,0.3874602828045149,2
dev,DEV_027,stable,0,14.873080070095705,-6.997778644361943,-9.950292127320829,3.55319410058947,-4.604928257977299,2
